2016-09-15 17:11:33.9828	IDEAL PATH eyeMovementsFactor	0
2016-09-15 17:11:33.9828	IDEAL PATH SCORE	0.75
2016-09-15 17:11:33.9838	TargetDistance	1.47364473342896
2016-09-15 17:11:33.9848	GAME DoubleClick	(457.0, 34.0, 0.0)
2016-09-15 15:11:33.9680	EyeTracking Fixation	Started	520	1162	-63609549093968
2016-09-15 17:11:34.1128	EyeTracking AOI	NULL
2016-09-15 15:11:34.1190	EyeTracking Fixation	Ended	512	1156	151
2016-09-15 17:11:34.1718	EyeTracking AOI	NULL
2016-09-15 15:11:34.1360	EyeTracking Fixation	Started	500	1140	-63609549094136
2016-09-15 17:11:34.2688	EyeTracking AOI	NULL
2016-09-15 15:11:34.2350	EyeTracking Fixation	Ended	507	1135	99
2016-09-15 17:11:34.2958	EyeTracking AOI	NULL
2016-09-15 15:11:35.1670	EyeTracking Fixation	Started	429	119	-63609549095167
2016-09-15 17:11:35.3139	EyeTracking AOI	NULL
2016-09-15 15:11:35.3660	EyeTracking Fixation	Ended	442	101	199
2016-09-15 17:11:35.4309	EyeTracking AOI	NULL
2016-09-15 15:11:35.4000	EyeTracking Fixation	Started	388	26	-63609549095400
2016-09-15 17:11:35.5479	EyeTracking AOI	NULL
2016-09-15 15:11:35.5160	EyeTracking Fixation	Ended	393	32	116
2016-09-15 17:11:35.5819	EyeTracking AOI	NULL
2016-09-15 15:11:35.6000	EyeTracking Fixation	Started	1295	679	-63609549095600
2016-09-15 17:11:35.7440	EyeTracking AOI	NULL
2016-09-15 15:11:35.7150	EyeTracking Fixation	Ended	1290	687	115
2016-09-15 17:11:35.7800	EyeTracking AOI	NULL
2016-09-15 15:11:35.7340	EyeTracking Fixation	Started	1393	696	-63609549095734
2016-09-15 15:11:35.8330	EyeTracking Fixation	Ended	1393	695	99
2016-09-15 17:11:35.8800	EyeTracking AOI	NULL
2016-09-15 17:11:35.8970	EyeTracking AOI	NULL
2016-09-15 15:11:36.0490	EyeTracking Fixation	Started	444	797	-63609549096049
2016-09-15 17:11:36.1850	EyeTracking AOI	NULL
2016-09-15 15:11:36.1500	EyeTracking Fixation	Ended	452	806	101
2016-09-15 17:11:36.2140	EyeTracking AOI	NULL
2016-09-15 15:11:36.1990	EyeTracking Fixation	Started	348	706	-63609549096199
2016-09-15 15:11:36.2990	EyeTracking Fixation	Ended	356	712	100
2016-09-15 17:11:36.3460	EyeTracking AOI	NULL
2016-09-15 17:11:36.3620	EyeTracking AOI	NULL
2016-09-15 15:11:36.4500	EyeTracking Fixation	Started	566	1125	-63609549096450
2016-09-15 17:11:36.5981	EyeTracking AOI	NULL
2016-09-15 15:11:36.5660	EyeTracking Fixation	Ended	565	1126	116
2016-09-15 17:11:36.6311	EyeTracking AOI	NULL
2016-09-15 15:11:36.8170	EyeTracking Fixation	Started	599	1170	-63609549096817
2016-09-15 17:11:36.9521	EyeTracking AOI	NULL
2016-09-15 15:11:37.0660	EyeTracking Fixation	Ended	596	1180	249
2016-09-15 17:11:37.1141	EyeTracking AOI	NULL
2016-09-15 15:11:37.1500	EyeTracking Fixation	Started	1541	584	-63609549097150
2016-09-15 17:11:37.2821	EyeTracking AOI	NULL
2016-09-15 15:11:37.2830	EyeTracking Fixation	Ended	1547	578	133
2016-09-15 17:11:37.3481	EyeTracking AOI	NULL
2016-09-15 15:11:37.3350	EyeTracking Fixation	Started	906	732	-63609549097335
2016-09-15 17:11:37.4681	EyeTracking AOI	NULL
2016-09-15 15:11:37.4810	EyeTracking Fixation	Ended	897	736	146
2016-09-15 17:11:37.5471	EyeTracking AOI	NULL
2016-09-15 15:11:37.5490	EyeTracking Fixation	Started	1576	947	-63609549097549
2016-09-15 17:11:37.6822	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:37.6820	EyeTracking Fixation	Ended	1565	943	133
2016-09-15 17:11:37.7512	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:37.7130	EyeTracking Fixation	Started	1690	1153	-63609549097713
2016-09-15 17:11:37.8492	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:37.8140	EyeTracking Fixation	Ended	1690	1151	101
2016-09-15 17:11:37.8672	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:37.8310	EyeTracking Fixation	Started	1695	1134	-63609549097831
2016-09-15 17:11:37.9692	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:37.9650	EyeTracking Fixation	Ended	1691	1142	134
2016-09-15 17:11:38.0162	EyeTracking AOI	{"objectType":"Activity","id":"http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp","definition":{"name":{"en-US":"VirtualAssistantHelp"}}}
2016-09-15 15:11:38.0640	EyeTracking Fixation	Started	1485	728	-63609549098064
2016-09-15 17:11:38.1992	EyeTracking AOI	NULL
2016-09-15 15:11:38.1640	EyeTracking Fixation	Ended	1481	714	100
2016-09-15 17:11:38.2152	EyeTracking AOI	NULL
2016-09-15 17:11:38.3462	EyeTracking AOI	NULL
2016-09-15 15:11:38.2140	EyeTracking Fixation	Started	698	533	-63609549098214
2016-09-15 15:11:38.3830	EyeTracking Fixation	Ended	696	534	169
2016-09-15 17:11:38.4322	EyeTracking AOI	NULL
2016-09-15 15:11:38.4970	EyeTracking Fixation	Started	792	356	-63609549098497
2016-09-15 17:11:38.6333	EyeTracking AOI	NULL
2016-09-15 15:11:38.6460	EyeTracking Fixation	Ended	794	354	149
2016-09-15 17:11:38.8823	EyeTracking AOI	NULL
2016-09-15 15:11:38.8460	EyeTracking Fixation	Started	694	511	-63609549098846
2016-09-15 17:11:38.9843	EyeTracking AOI	NULL
2016-09-15 15:11:38.9970	EyeTracking Fixation	Ended	706	507	151
2016-09-15 17:11:39.0493	EyeTracking AOI	NULL
2016-09-15 15:11:39.0130	EyeTracking Fixation	Started	829	381	-63609549099013
2016-09-15 17:11:39.1663	EyeTracking AOI	NULL
2016-09-15 15:11:39.2120	EyeTracking Fixation	Ended	805	383	199
2016-09-15 17:11:39.2663	EyeTracking AOI	NULL
2016-09-15 15:11:39.2300	EyeTracking Fixation	Started	806	408	-63609549099230
2016-09-15 17:11:39.3683	EyeTracking AOI	NULL
2016-09-15 15:11:39.3790	EyeTracking Fixation	Ended	802	390	149
2016-09-15 17:11:39.4333	EyeTracking AOI	NULL
2016-09-15 15:11:39.4460	EyeTracking Fixation	Started	460	196	-63609549099446
2016-09-15 17:11:39.5823	EyeTracking AOI	NULL
2016-09-15 15:11:39.5620	EyeTracking Fixation	Ended	455	204	116
2016-09-15 17:11:39.6174	EyeTracking AOI	NULL
2016-09-15 15:11:39.5960	EyeTracking Fixation	Started	148	112	-63609549099596
2016-09-15 17:11:39.7514	EyeTracking AOI	NULL
2016-09-15 15:11:39.8460	EyeTracking Fixation	Ended	142	113	250
2016-09-15 17:11:39.9004	EyeTracking AOI	NULL
2016-09-15 15:11:39.8990	EyeTracking Fixation	Started	387	23	-63609549099899
2016-09-15 17:11:40.0324	EyeTracking AOI	NULL
2016-09-15 15:11:40.3630	EyeTracking Fixation	Ended	385	33	464
2016-09-15 17:11:40.4154	EyeTracking AOI	NULL
2016-09-15 15:11:40.4110	EyeTracking Fixation	Started	127	490	-63609549100411
2016-09-15 17:11:40.5514	EyeTracking AOI	NULL
2016-09-15 15:11:40.5960	EyeTracking Fixation	Ended	122	493	185
2016-09-15 17:11:40.6495	EyeTracking AOI	NULL
2016-09-15 15:11:40.6100	EyeTracking Fixation	Started	112	488	-63609549100610
2016-09-15 17:11:40.7505	EyeTracking AOI	NULL
2016-09-15 15:11:40.7280	EyeTracking Fixation	Ended	124	498	118
2016-09-15 17:11:40.7895	EyeTracking AOI	NULL
2016-09-15 15:11:40.9120	EyeTracking Fixation	Started	464	650	-63609549100912
2016-09-15 17:11:41.0565	EyeTracking AOI	NULL
2016-09-15 15:11:41.0440	EyeTracking Fixation	Ended	455	661	132
2016-09-15 17:11:41.1025	EyeTracking AOI	NULL
2016-09-15 15:11:41.1280	EyeTracking Fixation	Started	343	709	-63609549101128
2016-09-15 17:11:41.2685	EyeTracking AOI	NULL
2016-09-15 15:11:41.2440	EyeTracking Fixation	Ended	349	706	116
2016-09-15 17:11:41.3015	EyeTracking AOI	NULL
2016-09-15 15:11:41.6770	EyeTracking Fixation	Started	832	398	-63609549101677
2016-09-15 17:11:41.8206	EyeTracking AOI	NULL
2016-09-15 15:11:41.8780	EyeTracking Fixation	Ended	834	392	201
2016-09-15 17:11:41.9346	EyeTracking AOI	NULL
2016-09-15 15:11:41.8960	EyeTracking Fixation	Started	794	399	-63609549101896
2016-09-15 17:11:42.0376	EyeTracking AOI	NULL
2016-09-15 15:11:42.0780	EyeTracking Fixation	Ended	795	396	182
2016-09-15 17:11:42.1356	EyeTracking AOI	NULL
2016-09-15 15:11:42.1110	EyeTracking Fixation	Started	787	385	-63609549102111
2016-09-15 17:11:42.2596	EyeTracking AOI	NULL
2016-09-15 15:11:42.3780	EyeTracking Fixation	Ended	793	388	267
2016-09-15 17:11:42.4356	EyeTracking AOI	NULL
2016-09-15 15:11:42.3940	EyeTracking Fixation	Started	800	428	-63609549102394
2016-09-15 15:11:42.4950	EyeTracking Fixation	Ended	797	413	101
2016-09-15 17:11:42.5526	EyeTracking AOI	NULL
2016-09-15 17:11:42.5556	EyeTracking AOI	NULL
2016-09-15 15:11:42.5940	EyeTracking Fixation	Started	791	389	-63609549102594
2016-09-15 17:11:42.7367	EyeTracking AOI	NULL
2016-09-15 17:11:43.2697	GAME HELP	VirtualAssistant2D activated	In this mission you have to find a tank of type T42. The sensor took a shot from Karlsruhe (Germany)
2016-09-15 15:11:43.2250	EyeTracking Fixation	Ended	803	377	631
2016-09-15 17:11:43.2887	EyeTracking AOI	NULL
2016-09-15 15:11:43.2430	EyeTracking Fixation	Started	795	362	-63609549103243
2016-09-15 17:11:43.3897	EyeTracking AOI	NULL
2016-09-15 15:11:43.4620	EyeTracking Fixation	Ended	800	380	219
2016-09-15 17:11:43.5197	EyeTracking AOI	NULL
2016-09-15 15:11:43.4910	EyeTracking Fixation	Started	856	344	-63609549103491
2016-09-15 17:11:43.6378	EyeTracking AOI	NULL
2016-09-15 15:11:43.5930	EyeTracking Fixation	Ended	856	345	102
2016-09-15 17:11:43.6538	EyeTracking AOI	NULL
2016-09-15 15:11:43.7070	EyeTracking Fixation	Started	899	426	-63609549103707
2016-09-15 15:11:43.8090	EyeTracking Fixation	Ended	897	409	102
2016-09-15 17:11:43.8578	EyeTracking AOI	NULL
2016-09-15 17:11:43.8698	EyeTracking AOI	NULL
2016-09-15 15:11:43.8760	EyeTracking Fixation	Started	1426	927	-63609549103876
2016-09-15 17:11:44.0228	EyeTracking AOI	NULL
2016-09-15 15:11:44.0250	EyeTracking Fixation	Ended	1428	918	149
2016-09-15 17:11:44.0878	EyeTracking AOI	NULL
2016-09-15 15:11:44.1280	EyeTracking Fixation	Started	1316	920	-63609549104128
2016-09-15 17:11:44.2698	EyeTracking AOI	NULL
2016-09-15 15:11:44.2420	EyeTracking Fixation	Ended	1329	911	114
2016-09-15 17:11:44.3048	EyeTracking AOI	NULL
2016-09-15 15:11:44.3570	EyeTracking Fixation	Started	1455	960	-63609549104357
2016-09-15 15:11:44.4590	EyeTracking Fixation	Ended	1470	964	102
2016-09-15 17:11:44.5048	EyeTracking AOI	NULL
2016-09-15 17:11:44.5238	EyeTracking AOI	NULL
2016-09-15 15:11:44.7750	EyeTracking Fixation	Started	841	313	-63609549104775
2016-09-15 17:11:44.9219	EyeTracking AOI	NULL
2016-09-15 15:11:44.9260	EyeTracking Fixation	Ended	838	323	151
2016-09-15 17:11:44.9909	EyeTracking AOI	NULL
2016-09-15 17:11:45.1369	GAME HELP	User requested help
2016-09-15 17:11:45.1559	GAME HELP	VirtualAssistant2D activated	Your target is 14.6km away and in cardinal direction SOUTH-EAST
2016-09-15 15:11:44.9420	EyeTracking Fixation	Started	849	352	-63609549104942
2016-09-15 17:11:45.2379	EyeTracking AOI	NULL
2016-09-15 15:11:45.3420	EyeTracking Fixation	Ended	833	350	400
2016-09-15 17:11:45.4049	EyeTracking AOI	NULL
2016-09-15 15:11:45.5760	EyeTracking Fixation	Started	1441	900	-63609549105576
2016-09-15 17:11:45.7250	EyeTracking AOI	NULL
2016-09-15 15:11:45.6920	EyeTracking Fixation	Ended	1431	906	116
2016-09-15 17:11:45.7570	EyeTracking AOI	NULL
2016-09-15 15:11:45.7260	EyeTracking Fixation	Started	1483	904	-63609549105726
2016-09-15 17:11:45.8720	EyeTracking AOI	NULL
2016-09-15 15:11:46.0250	EyeTracking Fixation	Ended	1470	905	299
2016-09-15 17:11:46.0900	EyeTracking AOI	NULL
2016-09-15 15:11:46.0420	EyeTracking Fixation	Started	1574	895	-63609549106042
2016-09-15 17:11:46.1900	EyeTracking AOI	NULL
2016-09-15 15:11:46.2080	EyeTracking Fixation	Ended	1556	900	166
2016-09-15 17:11:46.2720	EyeTracking AOI	NULL
2016-09-15 15:11:46.2410	EyeTracking Fixation	Started	1523	965	-63609549106241
2016-09-15 17:11:46.3890	EyeTracking AOI	NULL
2016-09-15 15:11:46.3920	EyeTracking Fixation	Ended	1526	944	151
2016-09-15 17:11:46.4560	EyeTracking AOI	NULL
2016-09-15 15:11:46.4590	EyeTracking Fixation	Started	1610	927	-63609549106459
2016-09-15 17:11:46.6061	EyeTracking AOI	NULL
2016-09-15 15:11:46.6750	EyeTracking Fixation	Ended	1610	932	216
2016-09-15 17:11:46.7271	EyeTracking AOI	NULL
2016-09-15 15:11:46.7420	EyeTracking Fixation	Started	511	806	-63609549106742
2016-09-15 17:11:46.8731	EyeTracking AOI	NULL
2016-09-15 15:11:46.8410	EyeTracking Fixation	Ended	517	811	99
2016-09-15 17:11:46.8921	EyeTracking AOI	NULL
2016-09-15 15:11:47.2600	EyeTracking Fixation	Started	598	1031	-63609549107260
2016-09-15 17:11:47.4061	EyeTracking AOI	NULL
2016-09-15 15:11:47.3770	EyeTracking Fixation	Ended	603	1053	117
2016-09-15 17:11:47.4411	EyeTracking AOI	NULL
2016-09-15 15:11:48.1250	EyeTracking Fixation	Started	1509	950	-63609549108125
2016-09-15 17:11:48.2632	EyeTracking AOI	NULL
2016-09-15 15:11:48.2580	EyeTracking Fixation	Ended	1494	949	133
2016-09-15 17:11:48.3072	EyeTracking AOI	NULL
2016-09-15 15:11:48.2740	EyeTracking Fixation	Started	1494	934	-63609549108274
2016-09-15 17:11:48.4072	EyeTracking AOI	NULL
2016-09-15 15:11:48.3900	EyeTracking Fixation	Ended	1498	947	116
2016-09-15 17:11:48.4402	EyeTracking AOI	NULL
2016-09-15 15:11:48.7070	EyeTracking Fixation	Started	1621	940	-63609549108707
2016-09-15 17:11:48.8413	EyeTracking AOI	NULL
2016-09-15 15:11:48.9400	EyeTracking Fixation	Ended	1622	940	233
2016-09-15 17:11:48.9913	EyeTracking AOI	NULL
2016-09-15 15:11:48.9740	EyeTracking Fixation	Started	1609	948	-63609549108974
2016-09-15 17:11:49.1093	EyeTracking AOI	NULL
2016-09-15 15:11:49.0720	EyeTracking Fixation	Ended	1616	944	98
2016-09-15 17:11:49.1273	EyeTracking AOI	NULL
2016-09-15 17:11:49.6074	GAME Move	(-0.6, 0.0, 0.2)
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00588800355681847	=	0.00966488935538657	*	-0.609215826515064	(none)	2016-09-15 15:11:33.9680
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.0038079703702408	=	0.00633658308730643	*	-0.600950120557719	(none)	2016-09-15 15:11:34.1360
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.0039308031834195	=	0.0127371720643836	*	-0.308608784080968	(none)	2016-09-15 15:11:35.1670
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00259227893459953	=	0.00742468321340955	*	-0.349143372193667	(none)	2016-09-15 15:11:35.4000
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	0.00130003487276565	=	0.00736067732363878	*	0.17661891910281	(none)	2016-09-15 15:11:35.6000
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	0.0014500856665934	=	0.00633658308730643	*	0.228843470781318	(none)	2016-09-15 15:11:35.7340
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	0.00145454670128574	=	0.00633658308730643	*	0.229547483437803	(none)	2016-09-15 15:11:35.7340
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00309864755095031	=	0.00646459486684797	*	-0.479325868793563	(none)	2016-09-15 15:11:36.0490
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00334244286119445	=	0.0064005889770772	*	-0.522208639418174	(none)	2016-09-15 15:11:36.1990
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00331520613908003	=	0.0064005889770772	*	-0.517953293197387	(none)	2016-09-15 15:11:36.1990
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00412993525929821	=	0.00742468321340955	*	-0.556243969013954	(none)	2016-09-15 15:11:36.4500
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00903027744321527	=	0.0159374665529222	*	-0.566606832599722	(none)	2016-09-15 15:11:36.8170
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	0.00334000757496353	=	0.00851278333951267	*	0.392352000721157	(none)	2016-09-15 15:11:37.1500
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00105799568717275	=	0.00934485990653271	*	-0.113216859081337	(none)	2016-09-15 15:11:37.3350
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00851278333951267	=	0.00851278333951267	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp)	2016-09-15 15:11:37.5490
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00646459486684797	=	0.00646459486684797	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp)	2016-09-15 15:11:37.7130
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00857678922928345	=	0.00857678922928345	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/VirtualAssistantHelp)	2016-09-15 15:11:37.8310
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	0.001661748553307	=	0.0064005889770772	*	0.259624318833519	(none)	2016-09-15 15:11:38.0640
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00194288167991142	=	0.0108169953712605	*	-0.179613803392524	(none)	2016-09-15 15:11:38.2140
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.000406534662762806	=	0.00953687757584503	*	-0.0426276482559109	(none)	2016-09-15 15:11:38.4970
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.00156692000996717	=	0.00966488935538657	*	-0.162124981709581	(none)	2016-09-15 15:11:38.8460
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.000527323300040386	=	0.0127371720643836	*	-0.0414003436064836	(none)	2016-09-15 15:11:39.0130
2016-09-15 17:11:49.6074	IDEAL PATH Gaze Factor	-0.000438002104179911	=	0.00953687757584503	*	-0.0459272021368169	(none)	2016-09-15 15:11:39.2300
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.0022761616311947	=	0.00742468321340955	*	-0.306566834674343	(none)	2016-09-15 15:11:39.4460
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00917997145631318	=	0.0160004482173558	*	-0.573732143725548	(none)	2016-09-15 15:11:39.5960
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.0105788215647525	=	0.0296968318914124	*	-0.356227277153145	(none)	2016-09-15 15:11:39.8990
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00765893692003061	=	0.0118403316808433	*	-0.646851551669127	(none)	2016-09-15 15:11:40.4110
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00488116377879059	=	0.00755221155859195	*	-0.646322436934042	(none)	2016-09-15 15:11:40.6100
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00354576972156147	=	0.00844823665876387	*	-0.419705302393869	(none)	2016-09-15 15:11:40.9120
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00387100309657435	=	0.0074242079728531	*	-0.521402836602749	(none)	2016-09-15 15:11:41.1280
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000255728582986456	=	0.0128643603667541	*	-0.0198788416754359	(none)	2016-09-15 15:11:41.6770
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000623363833050687	=	0.011648326302235	*	-0.0535153134344355	(none)	2016-09-15 15:11:41.8960
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000903305025724191	=	0.017088478696136	*	-0.0528604706004896	(none)	2016-09-15 15:11:42.1110
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000382086579467796	=	0.00646418107981175	*	-0.0591082729196879	(none)	2016-09-15 15:11:42.3940
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000368056893966559	=	0.00646418107981175	*	-0.0569378997002474	(none)	2016-09-15 15:11:42.3940
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00167050385249745	=	0.0403851313006061	*	-0.041364328868045	(none)	2016-09-15 15:11:42.5940
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000626868349011935	=	0.0140163926384037	*	-0.0447239432558681	(none)	2016-09-15 15:11:43.2430
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	7.80940931492225E-05	=	0.00652818287268118	*	0.011962608075216	(none)	2016-09-15 15:11:43.4910
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000148603399306415	=	0.00652818287268118	*	0.022763363435832	(none)	2016-09-15 15:11:43.7070
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000174999161963228	=	0.00652818287268118	*	0.0268067187111986	(none)	2016-09-15 15:11:43.7070
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000762732239190685	=	0.00953626713754407	*	0.0799822643587473	(none)	2016-09-15 15:11:43.8760
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000297545551949157	=	0.00729620438711426	*	0.0407808685396271	(none)	2016-09-15 15:11:44.1280
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000377068446299128	=	0.00652818287268118	*	0.0577600924565189	(none)	2016-09-15 15:11:44.3570
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000393386825143607	=	0.00652818287268118	*	0.0602597740927009	(none)	2016-09-15 15:11:44.3570
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	2.47161572807649E-05	=	0.00966427072328292	*	0.00255747774337689	(none)	2016-09-15 15:11:44.7750
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.000223439453604092	=	0.0256007171477693	*	-0.00872785915778773	(none)	2016-09-15 15:11:44.9420
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000672432563682562	=	0.0074242079728531	*	0.0905729696879906	(none)	2016-09-15 15:11:45.5760
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.00205167032666911	=	0.0191365360679576	*	0.107212210160879	(none)	2016-09-15 15:11:45.7260
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.00151334631378948	=	0.0106242976163243	*	0.142442010610115	(none)	2016-09-15 15:11:46.0420
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000931825077385847	=	0.00966427072328292	*	0.0964195958564072	(none)	2016-09-15 15:11:46.2410
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.00183018999169592	=	0.0138243872597954	*	0.132388507157821	(none)	2016-09-15 15:11:46.4590
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00273386190703465	=	0.00633617749407291	*	-0.431468643293533	(none)	2016-09-15 15:11:46.7420
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	-0.00366533519812823	=	0.00748820976572253	*	-0.489480838919122	(none)	2016-09-15 15:11:47.2600
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000690620780061257	=	0.0085122384516333	*	0.0811326872461783	(none)	2016-09-15 15:11:48.1250
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000625028490381948	=	0.0074242079728531	*	0.0841879016142043	(none)	2016-09-15 15:11:48.2740
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.0019228359098296	=	0.0149124177385756	*	0.12894192903781	(none)	2016-09-15 15:11:48.7070
2016-09-15 17:11:49.6084	IDEAL PATH Gaze Factor	0.000777518388234579	=	0.00627217570120348	*	0.123963107105783	(none)	2016-09-15 15:11:48.9740
2016-09-15 17:11:49.6084	IDEAL PATH moveDistanceFactor	-0.0259199343479748
2016-09-15 17:11:49.6084	IDEAL PATH eyeMovementsFactor	-0.0995947309382567
2016-09-15 17:11:49.6084	IDEAL PATH SCORE	-0.0443386334955453
2016-09-15 17:11:49.6094	TargetDistance	1.47849428653717
2016-09-15 17:11:49.6094	GAME DoubleClick	(557.0, 40.0, 0.0)
2016-09-15 15:11:49.5740	EyeTracking Fixation	Started	614	1125	-63609549109574
2016-09-15 17:11:49.7094	EyeTracking AOI	NULL
2016-09-15 15:11:49.6730	EyeTracking Fixation	Ended	609	1120	99
2016-09-15 17:11:49.7254	EyeTracking AOI	NULL
2016-09-15 15:11:50.4230	EyeTracking Fixation	Started	227	879	-63609549110423
2016-09-15 17:11:50.5604	EyeTracking AOI	NULL
2016-09-15 15:11:50.5230	EyeTracking Fixation	Ended	230	862	100
2016-09-15 17:11:50.5905	EyeTracking AOI	NULL
2016-09-15 15:11:50.5390	EyeTracking Fixation	Started	223	837	-63609549110539
2016-09-15 17:11:50.6775	EyeTracking AOI	NULL
2016-09-15 15:11:50.6890	EyeTracking Fixation	Ended	236	841	150
2016-09-15 17:11:50.7425	EyeTracking AOI	NULL
2016-09-15 15:11:50.7400	EyeTracking Fixation	Started	391	1093	-63609549110740
2016-09-15 17:11:50.8775	EyeTracking AOI	NULL
2016-09-15 15:11:50.8400	EyeTracking Fixation	Ended	400	1094	100
2016-09-15 17:11:50.8945	EyeTracking AOI	NULL
2016-09-15 17:11:51.1645	GAME HELP	VirtualAssistant2D deactivated
2016-09-15 15:11:51.0560	EyeTracking Fixation	Started	594	1166	-63609549111056
2016-09-15 17:11:51.1955	EyeTracking AOI	NULL
2016-09-15 15:11:51.1890	EyeTracking Fixation	Ended	584	1155	133
2016-09-15 17:11:51.2445	EyeTracking AOI	NULL
2016-09-15 17:11:51.3905	GAME Move	(-0.7, 0.0, 0.1)
