2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.0067471946787634	=	0.0310082391436857	*	0.217593609475801	(none)	2016-09-15 15:10:23.9790
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00576037817006543	=	0.0268429532885638	*	0.214595544243621	(none)	2016-09-15 15:10:24.1460
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00277983471409694	=	0.0347107154593497	*	0.0800857797746189	(none)	2016-09-15 15:10:24.3130
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00748935607212771	=	0.0386445965447427	*	0.193800860709117	(none)	2016-09-15 15:10:24.5120
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00781187701841458	=	0.0386445965447427	*	0.202146683285204	(none)	2016-09-15 15:10:24.5120
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00512232324867486	=	0.0236032865123578	*	0.217017373660783	(none)	2016-09-15 15:10:24.6930
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00482720139189403	=	0.0236032865123578	*	0.204513951451917	(none)	2016-09-15 15:10:24.6930
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00485030921662387	=	0.0233718817426288	*	0.207527543996478	(none)	2016-09-15 15:10:24.8280
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	0.00469508648905598	=	0.0233718817426288	*	0.200886113525572	(none)	2016-09-15 15:10:24.8280
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.019638133306346	=	0.0499834302614636	*	-0.392892868769086	(none)	2016-09-15 15:10:25.1790
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0187066038869844	=	0.0499834302614636	*	-0.374256104255551	(none)	2016-09-15 15:10:25.1790
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0180364419246748	=	0.0421156680906776	*	-0.428259665401514	(none)	2016-09-15 15:10:25.7650
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0177263230169216	=	0.0421156680906776	*	-0.420896160990625	(none)	2016-09-15 15:10:25.7650
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0425784776301356	=	0.0425784776301356	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:25.9960
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0539173113468565	=	0.0539173113468565	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:26.1950
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0305454296042277	=	0.0305454296042277	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:26.4620
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0231404769728998	=	0.0231404769728998	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:27.6600
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0229090722031708	=	0.0229090722031708	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:27.8440
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0231404769728998	=	0.0231404769728998	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:28.0760
2016-09-15 17:11:33.9768	IDEAL PATH Gaze Factor	-0.0270743580582928	=	0.0270743580582928	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:28.2430
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0233664740883616	=	0.0233664740883616	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:28.4590
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0229037716311664	=	0.0229037716311664	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:28.6600
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0233664740883616	=	0.0233664740883616	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:28.8240
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0460388944909304	=	0.0460388944909304	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:29.3750
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0270680937459239	=	0.0270680937459239	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:29.8920
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0812042812377716	=	0.0812042812377716	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:30.1420
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0229037716311664	=	0.0229037716311664	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:30.6590
